,sentence,intent
103,Include tomorrow your reminder to tomorrow's meeting at 10 a.m.,50
104,Add five plus eighteen minus four,39
105,I want a new playlist of songs.,21
106,Remember I have to go to the gym every Monday and Tuesday.,50
107,Add an event to your calendar and remind others,50
108,Play My Favorite Country Playlist,58
109,What is the phone number to Jana?,17
110,Find and order the pearls.,16
111,I want some information about John Lennon.,49
112,Give me the date today.,0
113,How old was Elvis when he died?,49
114,The train to whom it goes,42
115,Add a meeting with Tom on Tuesday at 9 a.m.,50
116,Olly Good Morning Disconnecting Light,40
117,What alarms have I set for tomorrow?,23
118,The morning is sunny.,13
119,by mail server,33
120,What is the weather today,13
121,length of cork,11
122,Change the color of light to blue.,1
123,Repeat the alarm,52
124,What art is displayed in the theater,6
125,Maybe it’s like playing in the clothes.,51
126,Please give me the current date.,0
127,What's Happening to Brexit,22
128,Alexa What Exhibitions Are in California,6
129,Please play two yaro bicycles,45
130,TVN News Twenty Four,22
131,can you put on my fake I love you,47
132,Please write a tweet to allegro that I'm not happy with today's service,47
133,I have a meeting with the head of the department on Friday at 9 a.m.,50
134,Hi show my lists.,59
135,I want to know if Curry Leaves has a delivery.,3
136,I would like to listen to rock music now.,43
137,Can you tell me about the alarm called the bed?,23
138,Turn off the light in the bathroom.,40
139,What list is available for my favorite music by Ed Sheeran,57
140,Mariah Carey is on the main street.,17
141,I hope it is sunny there.,13
142,What is the right time,0
143,Check the exchange rate of the American and Mexican currency.,10
144,Give me a recipe for yellow rice.,9
145,Turn the lights into the salon.,18
146,Play but jazz by Sanah,45
147,Tell me when hola tacos can deliver my dinner,3
148,Please include the podcast from Impossible,58
149,Remove my list of things to do.,53
150,Are there any new unread emails from Gmaila?,44
151,Let me know if Anna has something left on my Facebook today.,27
152,I'll tell you when I'll get a new email from Reno.,44
153,Put a small chart,12
154,Remove this event from my calendar.,30
155,What is the Bermuda Triangle,49
156,Turn this song to the first in a row.,45
157,Start a new list,21
158,Enable the Dryer,34
159,Enable the lamp,41
160,Enable the radio program,36
161,Activate the Drying Work,34
162,What form is the ball?,49
163,What you recommend to see this weekend?,55
164,Is there a high concentration of cork in the cups?,11
165,Subscribe to Podcast External,58
166,How people suffer as you can help,12
167,I had a great day today.,12
168,Playlist number 7,45
169,Find the oldest hotel in Warsaw,19
170,Give me the dark,40
171,Should I wear a coat?,13
172,set the alarm two hours before my customer meeting I have on Tuesday at 10 a.m.,50
173,Define the business.,26
174,Show me the weather for this week.,13
175,Do I have something to do later?,32
176,The parasol later,13
177,How was the closing course of the Tauronun action,4
178,Show me future events.,32
179,Name of Team,57
180,What is the most popular curry cottage in the city,19
181,Congratulations to Adam for a new job,12
182,Call me at 5 a.m. to go to the concert,48
183,What is a Laptop,26
184,Please tell me what time is in Tokyo in Japan,0
185,What are the latest titles from this new source?,22
186,Show me a book store.,19
187,Today is Jan’s birthday.,32
188,What about this joke?,25
189,Please start playing the channel hundred one and three f. m.,36
190,Radio Olly,36
191,Please remove my morning alarm.,52
192,Send this message to Microsoft on Twitter,47
193,There is a chance of rain this week.,13
194,Which continent is growing most cotton and what is the average production?,49
195,Awakening at 5 a.m.,48
196,Repeat Inspection,20
197,need to set a reminder of the service meeting on Friday at the second afternoon,50
198,I want to listen to radio.,36
199,How much is thirteen add thirteen,39
200,What is the home address,17
201,Play the next piece of my chosen,45
202,Can you answer this question?,12
203,It will be nice on Saturday.,13
204,Fight with me in the street fighter,51
205,What day will be sunny,13
206,Play my first favourite song.,45
207,Can you tell me how ananas looks?,26
208,Give me some music.,45
209,What does Kevin Spacey do,49
210,Please update my status on Facebook with information Good Morning,47
211,Tell me what new in the media.,12
212,What Happens in the City This Weekend,6
213,Play a football match for me now.,51
214,Say something funny.,25
215,How much is calone worth compared to the US dollar?,10
216,Register a complaint on Twitter,47
217,Repeat the last song.,28
218,Joke of the Day,25
219,Delete the kitchen light.,40
220,What time is now in the Pacific?,0
221,describe the mushroom,26
222,Make a reminder for a date with your husband on next Friday,50
223,What is Surprising,26
224,"If the Limbaugh speed is alive, activate this",36
225,Remove Richard's wedding from the event next year,30
226,Tell me I’ll be late tonight.,13
227,Remove everything from the calendar.,30
228,What do you say about the latest news?,22
229,Get the latest updates on Donalda Tuska,22
230,Play it in 5 minutes.,20
231,What is the chance of rain today,13
232,Subway surfers,51
233,Tell me 30 minutes before the meeting tomorrow at 5 p.m.,50
234,Delete the plug,8
235,Can you activate my recorded podcast?,58
236,Can you find a trump?,22
237,in Radio,36
238,Can I know what time it is?,0
239,Please remove bananas from my shopping list.,53
240,Are there any new emails from a gift?,44
241,Play in scrabble,51
242,Give me information about the corks near me.,11
243,"Olli, do you have any advice for me?",12
244,What are Matrimonial Messages,22
245,What will the weather be next week in Catania?,13
246,Remove My Food Shopping List,53
247,Information about the US Federal Budget,22
248,Speak Silent,35
249,The restaurant has a result.,3
250,I have a meeting today.,32
251,Please remind me of the Sunday Mass.,50
252,How long is Warsaw?,49
253,Send a mail to the address,33
254,Send an email to Jana Kowalski,33
255,Can you find me a ticket to the train?,42
256,I need to know what the weather is at this time.,13
257,What is the information about the present work,57
258,Show the rules for lasagna from the network,9
259,Activate the rubber,34
260,What Happens In My Social Media,27
261,Free delivery to home,16
262,Changes in noise,29
263,Games from my computer,51
264,Adjust the light to red color,1
265,Can I Get My Big Order from Pizza Hut?,3
266,Activate the cleaner to clean the furniture.,34
267,Show me the name of the song that is flying.,57
268,With whom I have a meeting,32
269,Tell about yourself,12
270,order spaghetti from macarons to bring them home,16
271,Posts Tagged ‘Young Mummy’,58
272,What is Renata’s phone number?,17
273,Loudly,14
274,Enable my bathroom nuts completely.,24
275,What will the weather be for the next seven days?,13
276,How many portions of vegetables to eat per day,9
277,Remember me that next Tuesday at twenty-two I will have to see with Hania about our mathematical project,50
278,There is a train coming from the mountain.,42
279,Where was Borys Shic born?,49
280,Please play the next song.,45
281,Include the music seal,45
282,Can I order a meal from the bombardy?,16
283,Play my Shazaam playlist from Spotify,45
284,Please read the list for today.,59
285,What percentage of my money I spent today in the shopping center,12
286,Tell me about the most popular romantic comedies played in the cinemas in New York,55
287,What is the plan for today?,59
288,What is the temperature at the court?,13
289,Olly what the weather is,13
290,Please play this game.,51
291,Hello John I would like to know today's meal,12
292,Show me the current weather in Warsaw,13
293,Find news about Celebrity,22
294,Please help me give me coffee without sugar.,56
295,scis the noise,35
296,Planning a meeting with Laura,50
297,What movie is this song?,57
298,Read the contact number from the address book.,17
299,Remember the first afternoon.,50
300,Give me the expensive sushi restaurants in West End,19
301,Showing Local Events,6
302,Delete the wemo plug in the play room,8
303,Google wants to hear the sound in my headsets,14
304,On which day is the meeting,32
305,Should I leave the windows open tonight?,13
306,Add the light to the right to read.,1
307,Take a parasol today.,13
308,Send me the latest information about the standing rock protest.,22
309,What is the exchange rate between the gold and the Ukrainian currency?,10
310,Drying the room in 10 minutes,34
311,Add the event to the calendar for next Friday.,50
312,You can record this music on my playlist.,43
313,What is the fastest route to the city,11
314,Tell me what the email address is to Rosemary.,17
315,Publish a new statutory,47
316,Add a new event to my calendar,50
317,I want to get to the next train that departs from Indianapolis to Chicago,2
318,Current Time,0
319,What is the phone number to Mary?,17
320,increased noise,14
321,Harry Potter and the Law of Phoenix,20
322,Reply to the last email,33
323,What time is in the mountain time zone?,0
324,What is the chance of a storm today,13
325,Order me a train that runs non stop to Seattle,2
326,Open the chess,51
327,Incorporate the wemo,24
328,What steps to do to prepare biryani,9
329,How big is the road near the airport,11
330,Please send me a mail that I can be next week.,33
331,Write a complaint to curry leaves and the quality of their food,47
332,Show me a map of the corks from the wave to the scratch.,11
333,Turn the radio and follow the radio.,36
334,What are the last controversies about Donald Trump?,22
335,Reply to the email from March morning,33
336,What a work,57
337,Show me the distribution of trains between Warsaw and Katowice tomorrow,42
338,Source and destination,2
339,If the product is for sale what is the price?,12
340,Show me some fun posts on Facebook.,27
341,Enable My Alarm,48
342,Please remember to buy clothes for a meeting.,50
343,Include Chess,51
344,You can write this beautiful song.,43
345,Show the games we can play.,51
346,Repeat Jazz,28
347,How to cook the egg soft,9
348,What trips are available from Calcutta to Calcutta,42
349,Contact your family via email,33
350,Remove the sound,46
351,Clean the speakers,35
352,Add them to my contact list and send them a notification.,15
353,What is planned on that day,32
354,What Happens in the Seattle,22
355,Can you make a little coffee?,56
356,Please read my alarm.,23
357,I don't need a list of purchases remove it,53
358,Remind me of the coming events.,50
359,Today's news t. v. p.,22
360,Can you change the mood of light?,1
361,Show me a funny video on YouTube.,12
362,Book a taxi for me.,54
363,Show a new list,21
364,I want to update my calendar.,50
365,Tell us about the presidential election.,22
366,Write in the calendar that Jan C. and his wife will meet with us tomorrow at 4 a.m.,50
367,A new mail from 5 a.m.,44
368,Can you tell me the time of the train that runs from Warsaw to Gdansk?,42
369,Is there a storm now?,13
370,What are the latest news,22
371,Press it for twenty minutes.,46
372,Currency Calculator,10
373,Adjust the light to the bright blue,1
374,A great song for travel.,43
375,The geographical value of the great volcano,49
376,I had a good day today.,12
377,What is compulsory,26
378,A bit of light,18
379,increased noise,14
380,Send my email address to my new email,33
381,Turn off the light in the salon.,40
382,Find a recipe for cake.,9
383,Give it louder.,14
384,I saw a dog today.,12
385,Show my list,59
386,Order me a train ticket.,2
387,Add my mom to the calendar for Monday brunch,50
388,Calendar,50
389,I have sent me an email.,44
390,What time is in Paris?,0
391,I want to go to Bristol on Friday night or you can book me a ticket please,2
392,When the Team Meeting Begins,32
393,Get access to the pop playlist,45
394,send me an email about the content hello as you have send me please update the last project hello tomas,33
395,What does pda mean,26
396,Favorite podcasts,58
397,I don’t tolerate this song please remember that I didn’t have to listen to it anymore.,7
398,Turn off the light in the salon.,40
399,Open the song title,20
400,What will the weather be for three days in five major cities in my neighborhood,13
401,Where is George W. Bush?,49
402,What is the frequency of train departure in Warsaw?,42
403,What is the best place to visit this month?,19
404,I want you to analyze the pattern for me to buy the lottery that wins the first prize,12
405,Remove My Shopping List,53
406,Can you drive 200 kilometers on a bicycle?,12
407,Do I need pants?,13
408,What is the best chili,9
409,How many words,12
410,What are the events in my area?,6
411,Play the songs of the dance genre.,45
412,Play rap songs,45
413,How Strength My Plan Is Today,32
414,Open an email to a new person,33
415,Start the radio and go to the frequency hundred one and three f. m.,36
416,The Lord of the Rings,20
417,Give me the weather for Krakow,13
418,Please a cup of coffee.,56
419,What are my alarms,23
420,Play the book,20
421,I have open lists.,59
422,Remove the Smart Nest,8
423,Do I have an upcoming meeting?,32
424,Mark the next Tuesday in my calendar as Stephen's birthday.,50
425,What Happened to John Gresham,12
426,Will it be wind today?,13
427,As you are today,12
428,Remember to meet tomorrow.,50
429,July 12th is the birthday of God update my calendar,50
430,What are all the coming events?,32
431,confirm that I set the alarm at 6 a.m.,23
432,New e-mails from work,44
433,Spaghetti from Pizza Hut,16
434,Send an email to my sister on my birthday mom Janka you should think about organizing a reception in the park,33
435,Call me at eight in the morning.,48
436,Good Morning Olly,5
437,Please inform me about the women’s strike.,22
438,Today is sunny,13
439,Mistakes of Customer Service at McDonald's,47
440,falling at the court.,13
441,Keith Richards is dead.,49
442,There is a culinary meeting this weekend.,32
443,Remove the time meeting,30
444,Delete the Nest,8
445,Please send an email to my wife about the weather next week.,33
446,I want to know the positions on the shopping list.,59
447,Is there any restrictions in the movement in connection with the President's visit?,11
448,Show my lists,59
449,Remove the trial meeting from the calendar,30
450,Can you make me a little coffee?,56
451,I want a cup of coffee.,56
452,I would like to know if in calculations mathematical operations are calculated before adding removal multiplication or sharing,12
453,Place the cafeteria near the center of the valley.,19
454,What is the difference between New York and Lagos?,38
455,What are the latest news from TVN Twenty Four?,22
456,"Olly, make me coffee.",56
457,Nearby pizzeria,16
458,Write a tweet that the service on kebaber is terrible,47
459,Hello Olly or I have any emails from Robert about the bulldog,44
460,Play Fun Music,45
461,Please play another episode of Impossible,58
462,Instagram,27
463,Open the answer to the last email received.,33
464,Is there temperature today?,13
465,Show me more about the presidential election.,22
466,Brighten the light please.,31
467,Play the last song from my last list,45
468,Let me know if something happens on this topic.,22
469,Use this word in the word.,26
470,Turn the two bicycles.,45
471,Has anyone won the match yesterday?,22
472,Show me reminders for tomorrow.,32
473,Add an event named Anna to your calendar,50
474,How Production and Population Affects Us,12
475,I can check if I have a new mail.,44
476,What is the day today,0
477,Can I visit the world in one day?,12
478,Tell me about the meeting on Tuesday.,50
479,How much snow has fallen in the sea since yesterday,13
480,Connect to my chosen station,36
481,Turn off the light in the second bedroom.,40
482,Where is the nearest bookstore?,19
483,Remember if something else happens.,50
484,Find a definition.,26
485,Write a tweet,47
486,Check out the pendolino train departure from Santa Claus on Monday,42
487,Defining Philosophy,26
488,What are the words of Andrew Dude on this topic?,22
489,The Black Sea is True,49
490,answer all the emails between twenty-two and nine in the morning.,33
491,Play the next episode of RadioLab,58
492,Where is the nearest place where you can order food with receipt,3
493,Siri Changes Two Songs,28
494,What is the Home Brand Number?,17
495,What is the best time to travel to Canada from which airport to fly,42
496,What are my notifications,32
497,What is the exchange rate between gold and yen?,10
498,When the next train arrives at the garbary station from the main station,42
499,How you have the name,12
500,Weather Family City,13
501,Order food from a pizza restaurant.,16
502,John Smith from Alabama,17
503,The train is coming today.,42
504,What is street traffic,11
505,Do I have any memories in my calendar?,32
506,Please arrange a train ticket for me.,2
507,I want to listen to a hundred one and three f. m.,36
508,Turn off all the lights in the house.,40
509,How,49
510,Olly or can you shake the light,18
511,I would like to hear my letters.,59
512,I wish all my friends on Facebook good day.,47
513,Please play the first artist in the line.,45
514,Dolores as the day passed,12
515,How to make stek,9
516,Can you give me the way to McDonald's in the golden terraces from my home?,42
517,What alarms,23
518,Defining the word session,26
519,Do I have any reminders?,32
520,Give me a message from the source.,22
521,Olly Changes Light to Blue,1
522,You have to find an alternative way to my destination.,42
523,Play in scrabble,51
524,Music by Iron Maiden,36
525,Music of Celine Dion,45
526,Should I put a suit on the pool?,13
527,Tell me what the temperature was in our city in the north.,13
528,What movie do you recommend tonight?,55
529,What is the date today,0
530,What is the capital of France?,49
531,increased noise,14
532,What I have today,32
533,Leave me Harry Potter from the place where I've finished last time,20
534,Stop the music,46
535,Show the last mail,44
536,I am going to meet with Jan tomorrow.,32
537,How strong is the dollar against the dollar?,4
538,Filming hours tonight,55
539,I put an alarm in the morning.,23
540,Avoid the noise,14
541,Do all the work for me so that I can sleep.,12
542,Show me the horse.,11
543,Today was OK.,12
544,Remove shopping from my list of things to do on Sunday,53
545,Open all emails from Steph,44
546,How old is the base,17
547,The alarm,48
548,Remove all articles with a dry extension.,53
549,I need a good joke.,25
550,Places where you can order food,16
551,Remove the dinner with Michael from my calendar,30
552,What is the Joas number?,17
553,Find the price for the name,4
554,The Intercity train arrives in Krakow,42
555,Give a complaint about smart t.v. to support the Sony client,47
556,How long do you go to the center?,42
557,Olly Back Notice for 5 Minutes,46
558,Party on the beach,12
559,Open Spotify,58
560,Polsat News,22
561,What's new on TVN twenty four,22
562,Play me a song,45
563,Show nearby places,19
564,Please inform me about stock prices.,4
565,Write an email to tobias tobytoday point com,33
566,Tell me what time is in New York.,0
567,Please go to the local talk show at radio.,36
568,When the meeting begins,32
569,I got a pack today.,12
570,I want to listen to this radio.,36
571,Can you set the express to the coffee at the fifteenth in every working day?,56
572,Tweet the current directv has a terrible customer service,47
573,Send me a notification of the meeting on Wednesday at 9 a.m.,50
574,Order Pizza,16
575,Thirty minutes to go to the park.,50
576,Today's Plan,32
577,What is the estimated time for a train trip to Orlando,42
578,On which day the event was planned,32
579,Order me something for subwaya.,16
580,A 10-day forecast for Srebrenica,13
581,Please pass the meeting to the sixth afternoon tomorrow and inform members.,50
582,Check the Post,44
583,Where is the remains now,49
584,How many SMSs Jan Kowalski sent to me in the last twelve months,44
585,Show the latest news on this topic.,22
586,Remember I want to go to a film show this weekend.,50
587,What alarms are set,23
588,Turn off the light in the guest room.,40
589,Please give me the name of the song that is now flying,57
590,Find me the latest news about p.e.,22
591,What is a song,57
592,Embrace the charging machine,24
593,Keep the light brighter,18
594,Create a list of books to order.,21
595,Please clean my calendar completely.,30
596,The meeting will be held on October 20th at 10th and 30th.,50
597,What is underground,26
598,switch radio to classical music stations,36
599,Where the friend lives?,17
600,Show the last email from Mark Olly,44
601,What is the difference between Warsaw and London?,38
602,What events are at the end of the week in the package,6
603,Show the last email from Janka so I can reply,33
604,What is the currency exchange rate,10
605,Tell me what are canyons with imports near I want to order food,3
606,Is there a sacrament?,49
607,I don’t want to use this butter anymore.,8
608,Make a meeting this morning.,50
609,Olly Popular Social Media,27
610,Turn off the rice cooking machine.,8
611,Learn me about the exposure settings that would be the best on a cloudy day on the altar,12
612,Remember tomorrow's meeting tonight.,50
613,Tell me something fun.,25
614,Angelina Jolie's Birthday,49
615,What Happens Today,22
616,Tell me what’s going on in social media.,27
617,Send a tweet to the old puppy that the line is always too long,47
618,send the contents to blablabla mafia bla point p. l. mailem,33
619,When Tesla appears in my city,49
620,Meeting with Renata on April 1 at 10 a.m.,50
621,How to solve three two,39
622,How to get to the panoramic landscape,42
623,When and Where is June Birthday Acceptance,32
624,Alarm on the fourth afternoon.,48
625,Find the area,49
626,Can you remind me of the waste lifting on Tuesday?,50
627,What is the meeting plan,32
628,Play only certain vocalist songs,28
629,Justin Bieber,49
630,My father sent me a mail recently.,44
631,Find what this word means.,26
632,Delivery Costs,3
633,Remove the cake from the list.,53
634,What is the road on the highway,11
635,Show me the date today.,0
636,Check if I have a mail.,44
637,Change the color of the light at home.,1
638,Tell me what you can do in London,6
639,I want you to connect the radio to a hundred one and three f. m.,36
640,How do you know a good vegan egg replacement,9
641,Remove the post from the list,53
642,Please enable the smart gnack.,24
643,Let me know what is missing in my question.,59
644,Is there a corner here?,11
645,Let Lidl know I hate them.,47
646,Are there any alarms?,23
647,Show me a plan,32
648,"Before this event, the law shall",50
649,Leave the next section,58
650,Continue reading Death Games,20
651,Be prepared to send a feedback.,33
652,Open My Film Music List,45
653,Speak more loud,14
654,Give me a melodic song.,45
655,Why people think,12
656,Should I take a parasol tomorrow?,13
657,push for release,46
658,Olly landing event in my neighborhood,6
659,Glossy,14
660,What is my plan for next week?,32
661,Is it too hot on the pants?,13
662,Call the pizza hut and order a big pizza on a thick cottage with shink and bakers.,16
663,Remove the next event in my calendar so that I can't see it anymore.,30
664,What I should do this weekend,6
665,Take me to the next section of the Criminatorium,58
666,Take advantage of my apes,54
667,Do I have to worry about the snowflows buriing my car on the riding on Tuesday?,13
668,What are the events for tomorrow,32
669,Tell me a joke that makes me laugh.,25
670,Which river is the largest in Germany,49
671,Play my favorite music.,45
672,This song is Shakira.,57
673,What is Skynet,26
674,Make a blue room,1
675,What Happens in Japan,22
676,explain this to me.,12
677,What is the definition of the word,26
678,I want to send an answer to Caroline.,33
679,Remove the noise,46
680,Weather in Sulawesi,13
681,What the weather will be this week?,13
682,Open the Google Calendar and add the event on May 5th,50
683,Angelina Jolie leaves the pitta brada,49
684,It is likely that there will be rain today.,13
685,Find a recipe for spaghetti,9
686,Cancel all events for the next two days.,30
687,Find music stores in a radius of 10 kilometers,19
688,Who was the first president of the United States?,49
689,My new work schedule,21
690,increase the noise of the speaker,14
691,Today's jokes,25
692,Is it sunny,13
693,Light the light in this room.,18
694,You can add the next section please.,58
695,How much will it take for me to get to work if I leave in 30 minutes?,11
696,What is the best kitchen in the country,12
697,What is today at the opening price of Intel?,4
698,Incorporate the Nest,24
699,Please keep the alarm for today.,48
700,write on Twitter to customer service that in this site the service is terrible,47
701,What time is in Venice?,0
702,Open the rock station,36
703,Make me a little coffee.,56
704,Remove all events from my calendar.,30
705,What movies play near me?,55
706,I want rumors about celebrity.,22
707,What is the definition of the word short?,26
708,Add a wedding reception on this Sunday,50
709,I went to the park.,12
710,What is the weather in the wave today?,13
711,I want to check if there was no one at home.,12
712,Adjust the light in the room to red,1
713,Pop,45
714,Make a list of accounts,21
715,Incorporate the Nest,24
716,Check the contact details of Janka,17
717,Remember to send the presentation today at the 13th.,50
718,send a tweet to customer service your feedback policy is to be covered,47
719,Add dinner to my calendar.,50
720,Are you waiting for the sun on Sunday?,13
721,What is the exchange rate between the Czech crown and the euro?,10
722,Show new emails please.,44
723,Tell me what the movement is now on the Marshall Street.,11
724,Remember me every morning at the seventh morning to take vitamins.,50
725,Is it rain today?,13
726,What is the current price of the digital stock?,4
727,"From my playlist, select the Catholic songs and play them now.",45
728,Keep my wake up at 6 a.m.,48
729,Can you view current news?,22
730,Cheeseburger from Jeshburger,16
731,Who is Obama,49
732,Repeat this song I really like it,43
733,I’m talking about me on Twitter.,47
734,Can I buy food?,3
735,Tell me a date,0
736,What does the speaker mean,26
737,What is the weather in the day,13
738,What is the population of Florida?,49
739,entry on list,59
740,Find Local Events,6
741,Please play Sanah music.,45
742,Order Chinese Kitchen,16
743,Latest news on this,22
744,Make sure that there is bread on my shopping list.,59
745,Remove all corrections from the twentieth week.,30
746,Where is it,12
747,Remind me of Monday lunch.,50
748,Remove everything this month.,30
749,What are the corks now,11
750,Make a reminder of,50
751,What is the weather in Krakow,13
752,Send my wife a message I love you,33
753,Taylor Swift Back to December,49
754,Tickets,55
755,What film was made by Andrzej Wajda,49
756,I want to see each of my memories.,32
757,How to make steki,9
758,Start a conversation with me about sport.,12
759,When I made my order and what time was scheduled,3
760,Play my last downloaded songs,45
761,Start my book on the stone again.,20
762,Check the delivery of my order.,3
763,Showing events in this area.,6
764,Open the message,22
765,What is the medicine for cancer,49
766,Is there a corner right now?,11
767,Send a message to a friend.,50
768,Tell me about Norris.,49
769,Add Michael and Jack to the Festival,50
770,Where is McDonald's,19
771,Add to the calendar the birthday reception of Janina tomorrow at 2 a.m.,50
772,Now there are large crops on the tombs in the funeral.,11
773,What is the temperature now,13
774,Add to wash your dog at the top of the cleaning list,21
775,Play Jazz,36
776,Find a recipe for fried rice in Thailand,9
777,Your gloves will be needed on Tuesday.,13
778,How much peso per US dollar,10
779,Give me up-to-date information about the presidential candidate race,22
780,would be delicious,9
781,fifteen thousand two hundred seventeen,0
782,Give me the price of the cji pge,4
783,Make a new list of last training.,21
784,How high was Abraham Lincoln?,49
785,What is the time in Los Angeles,0
786,Playlist of Polish Music,45
787,Add a cyclic event on Saturday at 7 a.m. on the name time for the cinema,50
788,Hello,5
789,The weather will be cloudy today.,13
790,I’m going to swim or work.,13
791,Give me a message from UC WEB,22
792,Tell me about the train time to California.,58
793,There is a chance of rain this week.,13
794,Write an email to Robert,33
795,Open the mail,44
796,Viva la pizza is available.,3
797,Please don't score the song in the player just play the track,28
798,put in my calendar a birthday reception with Alk Ross and Ana,50
799,Where to go this weekend,6
800,What I have on my agenda today,32
801,What to add preparations,9
802,Send a mail to my brother.,33
803,Next articleFraud,58
804,Congratulations I have received advances.,12
805,Please play the morning show at a hundred one and three f. m.,36
806,Can you show me the alarms that I set up?,23
807,What is the hour,0
808,Remove all of my visits to Dr. Kowalsky this week,30
809,I'm not tired I'm happy,12
810,Enable the Smart Charger,24
811,Add to my wedding calendar on Tuesday,50
812,Reply to all emails between 10 am and 9 am.,33
813,What is Ferrari,26
814,Can you add glory to my customer list?,21
815,What is the hour in Dubai,0
816,Include the most popular podcast on iTunes,58
817,What is the definition of the word anger?,26
818,Give me exciting events in the knowledge,6
819,The Train Time,42
820,He defeated Liverpool.,22
821,Please send a tweet that my pearls are broken into pampers,47
822,This song is my favorite.,43
823,Order a taxi home.,54
824,Read emails and send to family members.,33
825,Music podcast with good reviews,58
826,Open Angry Birds,51
827,What a joke you know.,25
828,What is happening in the world now,22
829,I need an alarm set at eight in the morning.,48
830,You can check the hour.,0
831,When Albert Einstein was born,49
832,What is the best place for vacation on the mountains,49
833,What causes the Bermuda Triangle,49
834,Give the message onto,22
835,I have to respond every day to all the emails I receive from twenty-two to seven in the morning.,33
836,Where to buy sports equipment,19
837,The restaurant has a supply.,3
838,Open an account on social media,27
839,Explain me the theory of dark matter and show me its application.,12
840,Remember me the second afternoon on Tuesday to meet with the boss at the third afternoon.,50
841,Order me a train ticket any train to Bombay for tomorrow,2
842,Tell me about the list.,59
843,Repeat the previous song,28
844,What is the Czech capital?,49
845,When the train to Warsaw is first,42
846,I need more milk.,21
847,Remember me to check the latest morning news.,22
848,The next train to Warsaw,42
849,Set an alarm to this event that repeats ten times.,48
850,Human Nature by Michael Jackson,45
851,Where is the player living in Cricket Dhoni,49
852,How long will it take to get to the train station?,42
853,What is the difference between Pacific and Central,38
854,Googling clothes,54
